"","wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","lwage"
"33",2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.88908433914185
"34",666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.50128984451294
"35",1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.48380661010742
"38",1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.14991664886475
"39",714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.57088279724121
"40",1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.98564195632935
"41",692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.53958606719971
"44",1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.93439722061157
"45",1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.46622753143311
"47",770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.64639043807983
"50",808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.69456195831299
"51",1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.00306558609009
"52",1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.05098962783813
"53",1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.46679925918579
"54",1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.90775537490845
"56",769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.64509105682373
"57",875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.77422380447388
"58",1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.22620916366577
"59",1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.28069734573364
"60",800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.68461179733276
"61",1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.46622753143311
"62",1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.0483865737915
"63",840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.73340177536011
"67",442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.09131002426147
"70",1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.40427923202515
"71",1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.28276109695435
"73",1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.42773866653442
"74",1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.11882638931274
"75",855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.75110149383545
"76",1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.97728157043457
"78",1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.90775537490845
"80",1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.00306558609009
"81",996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.90374708175659
"83",1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.09007692337036
"84",1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.43484783172607
"85",686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.53087759017944
"88",832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.72383260726929
"89",579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.36130237579346
"91",2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.82404613494873
"92",1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.98100566864014
"93",750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.62007331848145
"94",1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,7.07834148406982
"95",833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,6.7250337600708
"96",650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,6.47697257995605
"98",1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,7.02286815643311
"99",865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,6.76272964477539
"100",808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,6.69456195831299
"101",1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,7.16935014724731
"102",903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,6.80572271347046
"103",900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,6.80239486694336
"104",625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,6.43775177001953
"106",962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,6.86901426315308
"107",1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,7.33888816833496
"108",1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,7.01211547851562
"109",1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,7.15617656707764
"110",770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,6.64639043807983
"111",1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,6.90775537490845
"115",654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,6.4831075668335
"116",601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,6.39859485626221
"118",433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,6.07073783874512
"119",1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,7.08002662658691
"121",1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,7.11069631576538
"122",1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,7.0483865737915
"123",865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,6.76272964477539
"124",1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,6.93828439712524
"125",1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,6.9555926322937
"126",1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,6.90775537490845
"127",1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,7.00760078430176
"128",1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,7.56216144561768
"129",1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,7.20489263534546
"130",809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,6.69579887390137
"131",1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,7.30988168716431
"132",1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,7.20489263534546
"133",1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,7.09007692337036
"134",500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,6.21460819244385
"135",1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,7.18916797637939
"136",900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,6.80239486694336
"138",800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,6.68461179733276
"139",1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,6.94119024276733
"141",884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,6.78445720672607
"142",480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,6.17378616333008
"143",923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,6.82762908935547
"144",513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,6.24027585983276
"145",1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,7.00760078430176
"147",2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,7.92696332931519
"148",779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,6.65801095962524
"149",950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,6.85646200180054
"150",1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,7.23993253707886
"151",1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,7.30988168716431
"152",650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,6.47697257995605
"154",1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,7.02642679214478
"155",450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,6.10924768447876
"157",2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,7.78488922119141
"159",757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,6.62936305999756
"160",1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,7.13089895248413
"162",1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,6.93244791030884
"163",1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,7.00306558609009
"164",714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,6.57088279724121
"165",1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,7.18387079238892
"166",1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,7.25205373764038
"167",2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,7.67878913879395
"169",1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,7.03878355026245
"173",750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,6.62007331848145
"174",1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,6.90775537490845
"175",951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,6.85751390457153
"176",635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,6.45362520217896
"177",1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,7.13089895248413
"181",590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,6.38012266159058
"182",923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,6.82762908935547
"183",1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,7.13089895248413
"184",1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,7.00306558609009
"185",1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,7.02997303009033
"186",652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,6.4800443649292
"187",618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,6.42648839950562
"188",962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,6.86901426315308
"189",529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,6.27098846435547
"190",817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,6.70563888549805
"192",840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,6.73340177536011
"194",2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,7.78488922119141
"195",1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,7.02642679214478
"196",1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,7.05617523193359
"198",1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,7.4832444190979
"199",1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,7.55118703842163
"201",971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,6.87832641601562
"202",525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,6.26339817047119
"203",525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,6.26339817047119
"205",500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,6.21460819244385
"207",550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,6.30991840362549
"208",500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,6.21460819244385
"210",865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,6.76272964477539
"211",1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,6.98564195632935
"212",1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,7.1731915473938
"213",575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,6.3543701171875
"214",623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,6.43454647064209
"215",515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,6.2441668510437
"216",1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,7.14913177490234
"217",990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,6.897705078125
"218",600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,6.39692974090576
"219",1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,7.05617523193359
"220",500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,6.21460819244385
"221",795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,6.67834234237671
"224",1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,7.13089895248413
"225",1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,6.92165803909302
"231",1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,7.13089895248413
"233",1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,7.28069734573364
"234",1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,7.2377781867981
"235",821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,6.71052312850952
"236",794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,6.67708349227905
"238",520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,6.25382900238037
"239",1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,7.45587682723999
"240",1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,7.56216144561768
"241",1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,7.05185556411743
"242",2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,7.67878913879395
"246",1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,7.31322050094604
"247",826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,6.71659469604492
"248",937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,6.8426833152771
"250",1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,6.93828439712524
"251",1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,7.14834594726562
"252",1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,7.03526878356934
"254",1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,7.19967842102051
"255",1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,6.96885061264038
"256",935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,6.84054660797119
"257",808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,6.69456195831299
"258",375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,5.92692613601685
"262",1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,7.05185556411743
"264",622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,6.4329400062561
"265",841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,6.73459148406982
"266",769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,6.64509105682373
"268",1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,7.56216144561768
"270",417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,6.03308629989624
"271",1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,7.09174203872681
"274",1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,7.09174203872681
"276",1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,7.09174203872681
"277",850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,6.74523639678955
"278",1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,6.90775537490845
"280",1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,6.90775537490845
"281",865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,6.76272964477539
"282",1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,7.22620916366577
"283",1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,7.36897039413452
"286",898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,6.80016994476318
"287",906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,6.80903911590576
"288",952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,6.85856485366821
"289",571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,6.34738922119141
"290",445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,6.09807443618774
"291",289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,5.66642665863037
"292",1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,7.27517223358154
"293",962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,6.86901426315308
"294",1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,6.98007583618164
"296",1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,7.13089895248413
"299",800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,6.68461179733276
"300",1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,6.95654535293579
"302",654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,6.4831075668335
"303",781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,6.6605749130249
"304",1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15,6.9450511932373
"305",1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18,7.56216144561768
"306",1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12,7.09174203872681
"308",905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8,6.80793476104736
"309",890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12,6.79122161865234
"310",817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16,6.70563888549805
"311",812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12,6.6995005607605
"312",577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12,6.35784244537354
"313",756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12,6.62804126739502
"315",1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12,7.05185556411743
"316",1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10,6.93244791030884
"318",1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10,6.90875482559204
"320",1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11,7.11476945877075
"322",714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12,6.57088279724121
"324",2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12,7.63385343551636
"325",912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12,6.81563997268677
"326",600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8,6.39692974090576
"328",711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12,6.56667232513428
"329",1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12,7.0483865737915
"330",1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12,6.90775537490845
"332",400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8,5.99146461486816
"333",1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4,7.06902360916138
"334",1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12,7.09174203872681
"335",1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10,7.2737865447998
"337",781,40,89,24,11,13,10,30,1,0,0,1,3,1,9,8,6.6605749130249
"338",750,60,74,23,10,13,9,30,1,0,0,1,4,2,11,9,6.62007331848145
"339",841,48,110,37,18,13,1,37,0,1,0,1,1,1,12,12,6.73459148406982
"340",700,50,130,29,13,14,1,38,1,0,0,1,1,2,11,14,6.55108022689819
"341",1346,50,108,51,16,9,4,36,1,0,0,1,1,2,12,10,7.20489263534546
"342",800,45,98,31,12,16,12,33,1,0,0,0,3,4,10,8,6.68461179733276
"344",1105,40,104,29,16,5,8,29,1,0,0,1,3,1,12,12,7.00760078430176
"345",475,52,98,33,14,12,1,30,0,0,0,1,6,1,8,10,6.16331481933594
"346",762,58,104,37,15,6,4,33,1,0,0,0,2,1,11,12,6.63594675064087
"348",721,40,134,38,13,9,9,30,0,0,1,1,3,3,8,8,6.58063936233521
"349",800,50,92,28,9,18,13,34,1,0,0,1,0,1,8,8,6.68461179733276
"350",658,40,129,34,16,11,9,30,1,0,0,1,2,1,13,16,6.48920488357544
"351",1270,40,118,42,14,4,16,36,1,0,0,1,2,1,12,12,7.14677238464355
"353",824,42,92,37,12,19,15,38,1,0,0,1,1,1,12,11,6.71417045593262
"354",1442,40,118,33,16,6,7,29,1,0,0,1,2,1,16,12,7.2737865447998
"355",1400,42,108,38,17,7,3,31,1,0,0,1,2,1,12,14,7.24422740936279
"356",1038,50,119,42,12,20,5,36,1,0,0,0,3,3,12,8,6.9450511932373
"357",668,43,109,29,12,11,12,29,1,0,0,0,2,3,8,7,6.50428819656372
"358",1100,40,91,41,12,18,10,36,1,0,0,0,2,3,8,8,7.00306558609009
"359",1000,45,118,38,14,9,7,30,1,0,0,1,3,1,12,10,6.90775537490845
"361",1111,40,103,33,14,13,13,31,1,0,0,0,6,3,14,12,7.01301574707031
"362",962,40,120,25,16,6,4,28,1,0,0,0,4,3,12,8,6.86901426315308
"363",729,47,122,40,18,6,13,34,1,0,0,1,3,3,8,6,6.59167385101318
"365",1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6,6.91770553588867
"366",600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8,6.39692974090576
"367",596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8,6.39024066925049
"369",670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8,6.5072774887085
"370",793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8,6.67582321166992
"371",1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6,7.2737865447998
"372",670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7,6.5072774887085
"373",876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12,6.77536630630493
"374",841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12,6.73459148406982
"375",975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12,6.88243770599365
"376",1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10,7.10906219482422
"377",910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14,6.8134446144104
"378",533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12,6.27852153778076
"379",750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12,6.62007331848145
"380",1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12,7.09506416320801
"381",745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8,6.61338424682617
"382",900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6,6.80239486694336
"383",1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12,7.06475925445557
"384",540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12,6.29156923294067
"386",615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12,6.42162227630615
"387",909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12,6.81234502792358
"388",769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8,6.64509105682373
"389",984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8,6.89162588119507
"391",879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16,6.77878475189209
"392",1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5,6.93439722061157
"394",465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11,6.1420373916626
"396",641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11,6.46302938461304
"397",1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8,6.94215679168701
"398",1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9,7.10002708435059
"399",950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12,6.85646200180054
"401",1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8,7.13089895248413
"402",586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11,6.37331962585449
"403",693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12,6.54102993011475
"404",562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12,6.33150196075439
"405",375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8,5.92692613601685
"407",654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10,6.4831075668335
"409",1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15,7.01301574707031
"410",1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16,7.22110509872437
"411",1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12,7.15617656707764
"413",1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10,7.20489263534546
"415",854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16,6.74993133544922
"416",888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10,6.78897190093994
"418",583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9,6.36818695068359
"419",1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13,7.13886690139771
"420",947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12,6.85329914093018
"422",1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10,7.36201047897339
"423",758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12,6.63068342208862
"424",1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8,7.2737865447998
"426",1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10,7.02642679214478
"428",500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6,6.21460819244385
"429",1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6,7.09007692337036
"431",1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8,7.56008052825928
"432",684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12,6.52795791625977
"433",774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7,6.65157175064087
"435",975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13,6.88243770599365
"436",1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12,7.219642162323
